EG	ECK	Gene	Syn	Type	Len	Ori	LeftEnd	RightEnd	Cs	MW	Protein	Function	Description	Comments	GI	SP	b#	ASAP	JW	CG	
EG11172	ECK3104	tdcD	yhaA	aa	402	Counterclockwise	3262452	3263660	70.29	43384.11	propionate kinase/acetate kinase C, anaerobic	Putative enzyme; Not classified	Propionate kinase, anaerobic; non-essential gene	otherPDB (S. typhimurium): 1X3M, 1X3N.	; 1789503	P11868	b3115	10245	JW5806	CG54712
EG11173	ECK3109	yhaB	None	aa	179	Clockwise	3267854	3268393	70.40	20576.56	uncharacterized protein	Null	Function unknown	Null	87082215	P11865	b3120	10261	JW3091	Null
EG11174	ECK3110	yhaC	None	aa	395	Clockwise	3268415	3269602	70.41	45250.91	pentapetide repeats-related protein	Null	Pentapetide repeats-related protein, function unknown	YhaC is distantly related to the pentapeptide repeats protein family (NCBI COG1357) and has four pentapeptide repeats (residues 151-170) that are similar to a reported consensus (Vetting, 2006). Like the pentapeptide repeats protein gene yjcF, yhaC is in one of the regions of extreme structure (RES12), perhaps correlated to the DNA mimic role proposed for pentapeptide repeats proteins. YhaC is 43% similar across 214 residues to the pseudogene-encoded pentapeptide repeats protein YjbI'.	1789509	P11864	b3121	10263	JW3092	Null
EG11175	ECK3112	garK	yhaD	aa	381	Counterclockwise	3270625	3271770	70.46	39104.34	glycerate kinase I	Null	Glycerate 2-kinase, glycolate-, glycerate- or glucarate-inducible; GKI; produces 2-phospho-glycerate	Null	1789512	P23524	b3124	10271	JW3093	Null
EG11176	ECK3113	garR	yhaE	aa	294	Counterclockwise	3271867	3272751	70.49	30427.44	tartronate semialdehyde reductase	Null	Tartronate semialdehyde reductase, glycerate- or galactarate-inducible	Null	87082216	P0ABQ2	b3125	10273	JW5526	Null
EG11177	ECK3155	truB	yhbA	aa	314	Counterclockwise	3311833	3312777	71.35	35087.08	tRNA pseudouridine synthase B: tRNA pseudouridine(55) synthase and putative tmRNA pseudouridine(342) synthase	Enzyme; tRNA modification	tRNA pseudouridine(55) synthase; tRNA pseudouridine synthase B; putative tmRNA pseudouridine(342) synthase	TruB is probably a dual specificity enzyme responsible for the formation of pseudouridine at position U342 in tmRNA in addition to tRNA U55 pseudouridinylation (Nurse, 1995; Feldon, 1998). truB mutants are sensitive to extreme heat shock.	; 2367200	P60340	b3166	10404	JW3135	CG35528
EG11178	ECK3156	rbfA	sdr-43, yhbB	aa	133	Counterclockwise	3312777	3313178	71.37	15154.48	30s ribosome binding factor	Factor; Proteins - translation and modification	Ribosome binding factor required for efficient processing of 16s rRNA; cold-shock adaptation protein; overexpression suppresses cold-sensitive 16S rRNA	Null	; 1789558	P0A7G2	b3167	10406	JW3136	CG36919
EG11179	ECK3159	rimP	yhbC	aa	150	Counterclockwise	3317554	3318006	71.47	16650.97	ribosome maturation factor for 30S subunits	Null	Factor required for maturation of 30S ribosomal subunits	RimP is associated with free 30S subunits, but not 50S or mature ribosomes (Nord, 2009). The TTG at position 3 could be start codon, poor RBSs all around, alignments more consistent to TTG.	87082222	P0A8A8	b3170	10417	JW5533	Null
EG11180	ECK3277	mscL	stkA, yhdC	aa	136	Clockwise	3438024	3438434	74.07	14956.77	mechanosensitive channel protein, high conductance	Transport; Transport of small molecules: Other	Mechanosensitive channel protein, high conductance; homopentameric	The E. coli PDB structures for MscL are homology models. otherPDB (M. tuberculosis): 1MSL. otherPDB (S. aureus): 3HZQ. Links are provided to Table 1 and Figure 4A from Pivetti (2003).	; 1789686	P0A742	b3291	10790	JW3252	CG35417
EG11181	ECK3324	bfd	yheA	aa	64	Counterclockwise	3466797	3466991	74.69	7362.63	bacterioferritin-associated ferredoxin	Null	Bacterioferritin-associated ferredoxin; predicted redox component complexing with Bfr in iron storage and mobility [2Fe-2S]	Null	; 1789735	P0AE56	b3337	10906	JW3299	CG43017
EG11182	ECK3344	yhfA	None	aa	134	Counterclockwise	3485414	3485818	75.09	14516.72	OsmC family protein	Null	OsmC family protein, function unknown	Null	1789755	P0ADX1	b3356	10964	JW3319	Null
EG11183	ECK3375	damX	yhfB	aa	428	Counterclockwise	3516020	3517306	75.75	46161.91	cell division protein that binds to the septal ring	Putative membrane; Cell division	Cell division protein, binds septal ring; bile salts resistance	A damX mutant is bile-sensitive, as is a downstream dam mutant, but the damX phenotype is complemented by a damX clone indicating it is not a polar effect on dam (Arends, 2010). Overexpression of DamX induces cell filamentation (Lyngstadaas, 1995). Overexpression of DamX causes filamentous biofilm formation (Tenorio, 2003). DamX has a 100 aa cytoplasmic domain, a single transmembrane region, and a C-terminal SPOR domain. DamX localizes to the septal ring, via the SPOR domain, and damX mutants are defective in cell division (Gerding, 2009; Arends, 2010). DamX interacts with FtsQ and other cell division proteins in a bacterial two-hybrid assay and may be a negative regulator of FtsQ function (Arends, 2010). HT_Cmplx49_Mem: DamX+BamA.	1789790	P11557	b3388	11065	JW3351	Null
EG11184	ECK3432	yhhA	None	aa	146	Clockwise	3586943	3587383	77.28	16623.82	DUF2756 family protein	Null	DUF2756 family protein	The first 17 aa of YhhA are predicted to be a type I signal peptide. 	1789857	P0ADX7	b3448	11262	JW3413	Null
EG11186	ECK3551	yiaA	None	aa	145	Counterclockwise	3726924	3727361	80.29	16122.75	YiaAB family inner membrane protein, tandem domains	Null	YiaAB family inner membrane protein, tandem domains	yiaB and yiaA are paralogs.	87082292	P0ADJ8	b3562	11632	JW3534	Null
EG11187	ECK3583	yibA	None	aa	280	Clockwise	3766337	3767179	81.14	31873.61	putative immunity protein for polymorphic toxin RhsA; HEAT-domain protein; lethality reduction protein	Null	Putative immunity protein for polymorphic toxin RhsA; HEAT-domain protein; lethality reduction protein	YibA coexpression mitigates the deleterious effects (a stationary phase-dependent viability block) of overexpressing the C-terminal portion of RhsA (Vlazny, 1995). Mutations in yibA have a hyperlethality phenotype when cells are stressed; YibA is a protein that reduces the lethal effects of stress (Han, 2010). The yibA gene is downstream of the rhsA predicted polymorphic toxin gene and yibA is predicted to encode an immunity protein (Zhang, 2012). YibA is comprised of HEAT-repeat domains (Pfam PF13646).	1790021	P0ADK6	b3594	11744	JW3568	Null
EG11188	ECK3608	yibB	htrL	aa	285	Counterclockwise	3792826	3793683	81.71	33458.00	YibB family protein, function unknown	Phenotype; Not classified	YibB family protein, function unknown	yibB was named htrL in a 1996 DNA sequence submission (M94888) but no data has been published; htrL is used as a synonym for yibB.	; 87082299	P25666	b3618	11838	JW5644	CG54740
EG11189	ECK3611	waaC	rfaC, yibC	aa	319	Clockwise	3795979	3796938	81.78	35543.79	ADP-heptose:LPS heptosyl transferase I	Enzyme; Macromolecule metabolism: Lipopolysaccharide	LPS heptosyltransferase I; LPS core biosynthesis; transfers innermost heptose to KDO	Overexpression causes abnormal biofilm architecture. The RfaC (WaaC) PDB structures are from strain RS218 (Grizot, 2006).	; 1790051	P24173	b3621	11847	JW3596	CG300
EG11190	ECK3624	coaD	kdtB, yicA	aa	159	Clockwise	3809825	3810304	82.08	17836.63	pantetheine-phosphate adenylyltransferase	Enzyme; Not classified	Phosphopantetheine adenylyltransferase	Null	; 1790065	P0A6I6	b3634	11875	JW3609	CG33900
EG11191	ECK3631	slmA	ttk, yicB	aa	198	Clockwise	3814494	3815090	82.18	22836.34	nucleoid occlusion factor, anti-FtsZ division inhibitor	Putative regulator; Not classified	DNA-binding anti-FtsZ division inhibitor, dimeric; nucleoid occlusion factor; regulates FtsZ assembly and blocks septal ring formation at SBS sites	SlmA disassembles FtsZ polymers in vitro (Cho, 2011). SlmA is an anti-FtsZ factor interfering with FtsZ polymerization at SlmA-binding sequences (SBSs) on the chromosome (Cho, 2011; Tonthat, 2011). TetR family.	; 87082302	P0C093	b3641	11902	JW5641	CG52724
EG11192	ECK3634	yicC	orfX	aa	287	Clockwise	3816676	3817539	82.23	33174.93	UPF0701 family protein	Phenotype; Not classified	UPF0701 family protein, function unknown	A deletion of dinD(pcsA,orfY) forms filaments and has a reduced plating efficiency on kanamycin in rich medium at late stationary phase, and exhibits growth defects at 45C; these phenotypes were exacerbated in a yicC(orfX) dinD(pcsA,orfY) double mutant; a yicC(orfX) single mutant was not tested (Poulsen, 1991).	1790075	P23839	b3644	11913	JW3619	Null
EG11193	ECK3635	dinD	orfY, pcsA, yicD	aa	274	Clockwise	3817760	3818584	82.25	31078.16	DNA damage-inducible protein	Phenotype; DNA - replication, repair, restriction/modification	DNA-damage-inducible protein, function unknown	Null mutants of dinD(pcsA,orfY) are viable in normal growth conditions (Poulsen, 1989; Ohmori, 1995). dinB and pcsA are allelic (Lewis, 1994; Lundegaard, 1994; Ohmori, 1995). A dinD68(pcsA68) point mutant (V239M) has a cold-sensitive growth phenotype, forming filaments with large nucleoids, that is suppressible by recA or lexA mutations (Ohmori, 1995). The cold-sensitive growth phenotype of dinD68(pcsA68)-cs is multi-copy suppressible by lexA, dinG and dinI (Yasuda, 1996). A deletion of dinD(pcsA,orfY) forms filaments and has a reduced plating efficiency on kanamycin in rich medium at late stationary phase, and exhibits growth defects at 45C; these phenotypes were exacerbated in a yicC(orfX) dinD(pcsA,orfY) double mutant; a yicC(orfX) single mutant was not tested (Poulsen, 1991). LexA regulon.	; 87082303	P23840	b3645	11918	JW3620	CG33582
EG11194	ECK3644	xanP	yicE	aa	463	Clockwise	3828945	3830336	82.49	48868.04	xanthine permease	Transport; Transport of small molecules: Nucleosides, purines, pyrimidines	Xanthine permease	xanP is predicted to belong to the PurR regulon.	1790087	P0AGM9	b3654	11946	JW3629	Null
EG11195	ECK3689	yidA	None	aa	270	Counterclockwise	3876140	3876952	83.51	29721.14	sugar phosphate phosphatase	Null	Erythrose 4-P and mannose 1-P phosphatase; alpha-D-glucose-1-P phosphatase, anomer-specific; phosphoramidase; physiological role unknown; additional in vitro substrates include: ribose-5-P, fructose-1-P, fructose-6-P, glucose-6-P, acetyl phosphate; HAD13	HAD superfamily. In vitro activities demonstrated by Kuznetsova et al. (2005, 2006).	2367265	P0A8Y5	b3697	12086	JW3674	Null
EG11196	ECK3690	yidB	None	aa	132	Counterclockwise	3877067	3877465	83.53	13786.58	DUF937 family protein	Null	DUF937 family protein, function unknown	otherPDB (S. flexneri): 1Z67. Although the PDB structure is derived from E. coli strain Shigella flexneri 2a str. 2457T, there are only three amino acid differences from the K-12 YibB; structural similarity to homeodomain proteins suggests a DNA-binding function for YidB (Osipiuk, 2006).	87082321	P09996	b3698	12089	JW3675	Null
EG11197	ECK3698	yidC	None	aa	548	Clockwise	3885076	3886722	83.70	61525.92	membrane protein insertase	Membrane; Inner membrane	Membrane protein insertase; inner membrane protein integration factor; binds TM regions of nascent IMPs; required for Sec-independent IMP integration; associated with the Sec translocase	yidC is an essential gene. YidC depletion activates the Psp response. YidC is required for proper membrane insertion of AtpE and CyoA. YidC assists proper folding of membrane proteins and thus is a chaperone as well.	; 1790140	P25714	b3705	12120	JW3683	CG77641
EG11198	ECK3723	glmU	tms(B.s.), yieA	aa	456	Counterclockwise	3913830	3915200	84.32	49190.08	fused N-acetyl glucosamine-1-phosphate uridyltransferase/glucosamine-1-phosphate acetyl transferase	Enzyme; Central intermediary metabolism: Sugar-nucleotide biosynthesis, conversions	Bifunctional glucosamine-1-phosphate acetyltransferase and N-acetylglucosamine-1-phosphate uridylyltransferase, hexameric	GlmU contains 22 hexapeptide repeats. Binds TrxA (Kumar, 2004). HT_Cmplx21_Cyt: GlmU+Pta.	; 1790168	P0ACC7	b3730	12201	JW3708	CG29106
EG11199	ECK3736	mioC	yieB	aa	147	Counterclockwise	3926012	3926455	84.58	15807.66	FMN-binding protein MioC	Factor; DNA - replication, repair, restriction/modification	Required for biotin synthase activity in vitro; flavodoxin-like FMN-binding protein; transcription of mioC through oriC may have physiological significance in suboptimal conditions	DnaA regulon.	; 1790181	P03817	b3742	12235	JW3720	CG18154
EG11201	ECK3805	yigA	None	aa	235	Clockwise	3995583	3996290	86.08	26728.78	DUF484 family protein	Null	DUF484 family protein, function unknown	Null	1790243	P23305	b3810	12444	JW3783	Null
EG11202	ECK3807	yigB	None	aa	238	Clockwise	3997183	3997899	86.12	27121.84	5-amino-6-(5-phospho-D-ribitylamino)uracil phosphatase; pyrimidine phosphatase; riboflavin synthesis	Enzyme; Biosynthesis of cofactors, carriers: Riboflavin	5-amino-6-(5-phospho-D-ribitylamino)uracil phosphatase; pyrimidine phosphatase; riboflavin synthesis	YbjI and YigB redundantly catalyze the fourth step in riboflavin synthesis; these enzymes have remained unknown for many years; other promiscuous HAD superfamily enzymes may also be able to perform this reaction (Haase, 2013). YigB also has FMN phosphatase activity in vitro (Kuznetsova, 2006). HAD superfamily, HAD7 family.	2367295	P0ADP0	b3812	12450	JW3785	Null
EG11203	ECK3857	yihA	engB	aa	210	Counterclockwise	4050133	4050765	87.26	23560.89	cell division GTP-binding protein	Null	GTP-binding protein required for normal cell division; predicted GTPase; also binds GDP	YihA was reported to be an essential gene by Arigoni (1998), but Dassain (1999) made a viable null mutant that grows slowly and forms filaments. Filamentation phenotype is suppressed by overexpression of ftsQI, ftsA and ftsZ. Unlike the other 11 GTPases in E. coli, YihA is not universally conserved among bacteria. Der and YihA are paralogs, with YihA matching the C-terminal GTPase domain better than the N-terminal GTPase domain. 2/52 YihA(EngB) peptide masses from MS analysis confirm this start codon and indicate that the initial Met is removed (Maillet, 2007).	87082340	P0A6P7	b3865	12623	JW5930	Null
EG11204	ECK3959	murI	dga, glr, yijA	aa	285	Clockwise	4165428	4166285	89.74	31001.95	glutamate racemase	Enzyme; Murein sacculus, peptidoglycan	Glutamate racemase, D-glutamate synthesis	murI is an essential gene. MurI can inhibit DNA gyrase activity (Ashiuchi, 2002).	; 87082355	P22634	b3967	12989	JW5550	CG29401
EG11205	ECK3964	murB	yijB	aa	342	Clockwise	4172057	4173085	89.88	37851.03	UDP-N-acetylenolpyruvoylglucosamine reductase, FAD-binding	Enzyme; Murein sacculus, peptidoglycan	UDP-N-acetylenolpyruvoylglucosamine reductase, FAD-binding	Null	; 1790407	P08373	b3972	12999	JW3940	CG34141
EG11206	ECK4003	yjaA	None	aa	127	Clockwise	4213234	4213617	90.77	14446.81	stress-induced protein	Null	Stress-induced protein, function unknown; involved in peroxide and acid resistance	A yjaA mutant strain is sensitive to hydrogen peroxide and acid (Lee, 2009). 	1790441	P09162	b4011	13112	JW3971	Null
EG11207	ECK4004	yjaB	None	aa	147	Counterclockwise	4213680	4214123	90.78	16446.69	GNAT-family putative N-acetyltransferase; acetyl coenzyme A-binding protein	Null	GNAT-family putative N-acetyltransferase; acetyl coenzyme A binding protein	NMR shift experiments indicate that YjaB is an acetyl coenzyme A binding protein, N-acetyltransferase assays were not performed (Lu, 2009). yjaB is transcribed divergently from a promoter that overlaps the metA promoter.	; 1790442	P09163	b4012	13114	JW3972	CG51779
EG11208	ECK4009	arpA	yjaC	aa	728	Counterclockwise	4220301	4222487	90.92	82598.23	ankyrin repeat protein	Null	Ankyrin repeat protein, function unknown	ArpA was previosly reported to be a regulator of acetyl CoA synthase synthesis based on a personal communication from A. J. Wolfe (1996) cited in P23325, however this is now contradicted in Wolfe (2005).	; 1790447	P23325	b4017	13133	JW3977	CG93306
EG11209	ECK4022	psiE	yjbA	aa	136	Clockwise	4240325	4240735	91.35	15596.78	phosphate starvation inducible protein	Null	Pho regulon, regulated by phoB and cAMP	Null	1790462	P0A7C8	b4030	13187	JW3990	Null
EG11210	ECK4102	crfC	yjdA	aa	742	Clockwise	4327135	4329363	93.22	84371.05	clamp-binding sister replication fork colocalization protein, dynamin-related	Phenotype; Not classified	Clamp-binding sister replication fork colocalization protein; dynamin-related protein, homomultimeric; mutational suppressor of yhjH motility defect	CrfC(YjdA) binds to the DNA replisome sliding clamp (DnaN) and colocalizes nascent sister replication forks; purified CrfC(YjdA) has very weak GTPase activity; the membrane binding domain of other dynamin proteins is replaced by a DnaN-binding domain including a binding motif at residues Q41-P45; a Q41A mutant loses clamp binding; GTP does not affect clamp binding in vitro; CrfC(YjdA) binds free or bound DnaN but does not bind naked DNA (Ozaki, 2013). The motility defect of yhjH mutations is suppressed by multicopy yfgF and by mutations in ycgR, fliZ, yfiR, yegE, crfC(yjdA), and yjcZ (Girgis, 2007). crfC(yjdA)-yjcZ are predicted to constitute an operon. CrfC(YjdA) has a Pfam PF00350 Dynamin_N domain and is a member of the dynamin GTPase superfamily.	1790548	P16694	b4109	13456	JW4070	Null
EG11211	ECK4151	epmA	genX, poxA, yjeA	aa	325	Clockwise	4382643	4383620	94.42	36976.06	Elongation Factor P Lys34 lysyltransferase	Enzyme; Protein modification	Elongation Factor P Lys34 lysyltransferase; required for EF-P-mediated translation of polyprolines	The pleiotropic phenotypes associated with epmA(poxA) mutations include synthesis of poxB, hypersensitivity to sulfometuron methyl, alpha-keto butyrate, and many amino acid analogs, slow growth rate, and hypersensitivity to many antibiotics and dyes; these phenotypes are likely due to impaired translation of polyproline-containing proteins, a function of EF-P that requires the EpmAB-mediated lysine34 lysylation (Doerfel, 2012; Ude, 2012). EpmA(YjeA) and EpmB(YjeK) are required to modify EF-P Lys34 by lysylation of the epsilon amino group; failure to modify EF-P with lysine results in a slow growth defect; EpmB(YjeK) may convert alpha-lysyl-EF-P to beta-lysyl-EF-P (Yanagisawa, 2010). A third and final EF-P post-translation modification enzyme EpmC(YfcM) is identified as EF-P-Lys34 hydroxylase; EpmC(YfcM) acts after beta-lysinylation of Lys34 by EpmA(YjeA) and EpmB(YjeK); EpmC(YfcM) adds an oxygen atom to the C5 position of Lys34 and does not modify the added beta-lysine; YjeA and YjeK were renamed as EpmA and EpmB, respectively (Peil, 2012). EpmA(YjeA) and EpmB(YjeK) were predicted to be responsible for the modification of EF-P Lys34 with spermidine, but Lys34 is actually modified with another lysine, not spermidine; epmB(yjeK) is in the efp genetic neighborhood in many strains and all genomes that have the conserved Lys34 in EF-P have epmB(yjeK) orthologs; EpmB(YjeK) is a lysine 2,3-aminomutase homolog (but in a different clade) (Bailly, 2010; Yanagisawa, 2010). The epmA(yjeA) pleiotropic phenotypes are not due to a defect in pyruvate oxidase and the apparent regulation of poxB may be a minor role for EpmA(YjeA). OtherPDB(S. typhimurium): 3G1Z.	87082379	P0A8N7	b4155	13610	JW4116	Null
EG11212	ECK4174	nsrR	yjeB	aa	141	Clockwise	4406190	4406615	94.93	15593.07	nitric oxide-sensitive repressor for NO regulon	Null	Nitric oxide-sensitive repressor; regulates hmp, ygbA, ytfE, tehA and hcp-hcr	NsrR is a weak regulator of tehA. tehA clones may titrate out NsrR. NsrR is homologous to NsrR of Nitrosomonas europaea.	1790621	P0AF63	b4178	13676	JW4136	Null
EG11214	ECK4350	yjjA	None	aa	164	Counterclockwise	4599695	4600189	99.10	17352.65	putative DUF2501 family periplasmic protein	Putative factor; Not classified	Predicted periplasmic DUF2501 protein, function unknown	The first 25 aa of YjjA are predicted to be a type I signal peptide. YjjA (P18) is expressed by readthrough from dnaTC promoter.	87082434	P18390	b4360	14301	JW5795	Null
EG11215	ECK4353	yjjB	None	aa	157	Counterclockwise	4601624	4602097	99.14	17046.55	DUF3815 family inner membrane protein	Null	UPF0442 family protein, function unknown	Although a wildtype strain was unaffected, a yjjB deletion mutant exhibited 40% survival after one hour in 1 M NaCl (Kri Ko, 2014). The original yjjB sequence had a C-terminal frameshift extending YjjB, but homology analysis suggests that the extension is artifactual. No YjjB protein was expressed in minicells, but a LacZ fusion indicates this gene is expressed. Homology extends upstream to end of yjjP gene, but the predicted MW is a little higher than observed. A GTG alternate start at codon 3 has a better apparent RBS and would be coupled with the motif GTGA to the upstream gene stop codon. However the GTG start is not conserved in Salmonella and Yersinia, while the ATG start is conserved.	1790825	P0ADD2	b4363	14310	JW4327	Null
EG11217	ECK4389	creA	yjjD	aa	157	Clockwise	4635521	4635994	99.87	17107.89	putative periplasmic protein	Null	Predicted periplasmic protein, function unknown	The first 21 aa of CreA are predicted to be a type I signal peptide. creA is the first gene in the creABC-creD region. CreA is the prototype for the CreA family of proteins of unknown function (PF05981).	; 1790859	P0AE91	b4397	14426	JW4360	CG34809
EG11218	ECK4390	creB	ORF2, yjjE	aa	229	Clockwise	4636007	4636696	99.88	26125.27	response regulator in two-component regulatory system with CreC	Regulator; Global regulatory functions	Response regulator for CreBC regulon; induced by growth in minimal medium	Null	; 1790860	P08368	b4398	14428	JW4361	CG34803
EG11219	ECK1411	ydcA	None	aa	57	Clockwise	1491677	1491850	32.14	5859.87	putative periplasmic protein	Null	Putative periplasmic protein	The first 20 aa of YdcA are predicted to be a type I signal peptide.	1787688	P0ACW4	b1419	4736	JW1416	Null
EG11221	ECK1853	zwf	None	aa	491	Counterclockwise	1934839	1936314	41.68	55704.44	glucose-6-phosphate 1-dehydrogenase	Enzyme; Energy metabolism, carbon: Oxidative branch, pentose pathway	Glucose-6-phosphate 1-dehydrogenase	Residues 199-203 of zwf encode a NNWDN peptide Extracellular Death Factor (EDF) involved in ChpA(MazF) toxicity that is likely converted to NNWNN by AsnA; a zwf deletion prevents NNWNN activity (Kolodkin-Gal, 2007). ClpXP is probably involved in producing EDF from Zwf (Kolodkin-Gal, 2008). HT_Cmplx19_Cyt: PepD+Pgm+Zwf.	; 1788158	P0AC53	b1852	6171	JW1841	CG2
EG11222	ECK2062	alkA	aidA	aa	282	Counterclockwise	2146692	2147540	46.25	31393.30	3-methyl-adenine DNA glycosylase II	Enzyme; DNA - replication, repair, restriction/modification	3-methyl-adenine DNA glycosylase II, inducible; repairs by single-and double-strand excision of 3-methyl adenine	Null	; 1788383	P04395	b2068	6848	JW2053	CG1035
EG11223	ECK3951	argH	None	aa	457	Clockwise	4156850	4158223	89.56	50318.22	argininosuccinate lyase	Enzyme; Amino acid biosynthesis: Arginine	Argininosuccinate lyase	Null	; 1790398	P11447	b3960	12969	JW3932	CG1014
EG11224	ECK1945	fliO	flbD	aa	121	Clockwise	2021504	2021869	43.55	12669.85	flagellar biosynthesis protein	Putative structure; Surface structures	Flagellin export apparatus, integral membrane protein	Flagellar regulon.	; 87082005	P22586	b1947	6473	JW5316	CG17510
EG11225	ECK4132	dcuA	genA	aa	433	Counterclockwise	4365472	4366773	94.05	45750.71	C4-dicarboxylate antiporter	Transport; Transport of small molecules: Carbohydrates, organic acids, alcohols	C4-dicarboxylate transporter, anaerobic	IT (Ion Transporter) superfamily (Prakash, 2003). ST(3) structural class based on hydropathy profile (Lolkema, 2003).	; 1790580	P0ABN5	b4138	13546	JW5735	CG34476
EG11226	ECK0076	leuA	None	aa	523	Counterclockwise	81958	83529	1.77	57297.91	2-isopropylmalate synthase	Enzyme; Amino acid biosynthesis: Leucine	Alpha-isopropylmalate synthase	LeuA catalyzes the first step of leucine biosynthesis.	; 1786261	P09151	b0074	267	JW0073	CG572
EG11227	ECK1468	fdnG	None	aa	1015	Clockwise	1547401	1550448	33.34	112813.31	formate dehydrogenase-N, alpha subunit, nitrate-inducible	Enzyme; Energy metabolism, carbon: Anaerobic respiration	Formate dehydrogenase-N, selenopeptide, anaerobic; FDH-N; periplasmic	Verified Tat substrate: FdnG has a Tat-only (Class I) predicted 37 aa signal peptide (Tullman-Ercek, 2007). Bound FdnH is co-exported. HT_Cmplx12_Mem: FdnG+FdnH. The UGA stop codon 196 is translated as selenocysteine in vivo and indicated as a "U" in the protein sequence.	; 3868719	P24183	b1474	4917	JW1470	CG32160
EG11228	ECK1469	fdnH	None	aa	294	Clockwise	1550461	1551345	33.40	32238.72	formate dehydrogenase-N, Fe-S (beta) subunit, nitrate-inducible	Enzyme; Energy metabolism, carbon: Anaerobic respiration	Formate dehydrogenase-N, Fe-S subunit, anaerobic; FDH-N; periplasmic	FdnH is co-exported bound to Tat substrate FdnG. HT_Cmplx12_Mem: FdnG+FdnH. 	; 1787749	P0AAJ3	b1475	4919	JW1471	CG32164
EG11229	ECK1470	fdnI	None	aa	217	Clockwise	1551338	1551991	33.42	25368.49	formate dehydrogenase-N, cytochrome B556 (gamma) subunit, nitrate-inducible	Enzyme; Energy metabolism, carbon: Anaerobic respiration	Formate dehydrogenase-N, cytochrome subunit, anaerobic; FDH-N	Null	; 1787750	P0AEK7	b1476	4921	JW1472	CG32168
EG11230	ECK4111	melR	None	aa	302	Counterclockwise	4340720	4341628	93.52	34927.88	melibiose operon transcriptional regulator; autoregulator	Regulator; Degradation of small molecules: Carbon compounds	Transcriptional activator for melAB, AraC family; autoregulatory repressor in absence of co-activator melibiose	The C-terminal domain of the RNA polymerase alpha subunit is important for MelR-dependent activation of the melAB promoter. An 18 base pair MelR binding site is necessary for MelR transcription activation because it ensures correct interactions with RNA polymerase sigma subunit.	; 1790559	P0ACH8	b4118	13486	JW4079	CG18166
EG11231	ECK1715	rpmI	None	aa	65	Counterclockwise	1799802	1799999	38.78	7288.93	50S ribosomal subunit protein L35	Structural component; Ribosomal proteins - synthesis, modification	50S ribosomal subunit protein A (L35)	Null	; 1788010	P0A7Q1	b1717	5732	JW1707	CG17602
EG11232	ECK3286	rpmJ	secX	aa	38	Counterclockwise	3442618	3442734	74.17	4364.33	50S ribosomal subunit protein L36	Structural component; Ribosomal proteins - synthesis, modification	50S ribosomal subunit protein X (L36)	Non-essential gene; mutant cells grow slowly. Not in archael ribosomes. Penetrates and organizes 50S subunit.	; 1789695	P0A7Q6	b3299	10812	JW3261	CG17599
EG11233	ECK1604	rstB	uspT	aa	433	Clockwise	1682882	1684183	36.26	49282.88	sensory histidine kinase of RstAB two-component system	Regulator; Global regulatory functions	Sensory histidine kinase of RstAB two-component system, low Mg-responsive via PhoQP	Mg(2+) stimulon-PhoPQ regulon, EvgAS-PhoPQ cascade enhanced-expression subset. The ydgC-rstAB divergent promoter region binds ArcA and ArcA activates rstAB expression (Federowicz, 2014).	; 1787894	P18392	b1609	5372	JW1601	CG53462
EG11234	ECK1690	ydiB	None	aa	288	Clockwise	1773789	1774655	38.21	31227.80	quinate/shikimate 5-dehydrogenase, NAD(P)-binding	Putative enzyme; Not classified	Quinate/shikimate dehydrogenase, NAD(P)-dependent	YdiB is paralogous to AroE. Low catalytic efficiency may indicate a different in vivo substrate.	1787983	P0A6D5	b1692	5651	JW1682	Null
EG11235	ECK0786	rhlE	None	aa	454	Clockwise	830872	832236	17.90	49989.32	ATP-dependent RNA helicase	Putative enzyme; Not classified	ATP-dependent RNA helicase, in RNA degradasome	RNA-stimulated ATPase activity and ATP-dependent RNA helciase activities have been demonstrated in vitro for RhlE (Bizebard, 2004). rhlE is transiently after a cold shock, dependent on the presence of PNPase. RhlE binds RNaseE. RhlE is in the RNA degradosome. DEAD-box protein family.	; 1787016	P25888	b0797	2719	JW0781	CG33907
EG11236	ECK0313	yahA	None	aa	362	Clockwise	332371	333459	7.16	40724.90	c-di-GMP-specific phosphodiesterase	Null	c-di-GMP-specific phosphodiesterase, PDE-A; reaction product is 5'pGpG; dependent on Mg+2 or Mn+2, Ca+2 inhibitory; optimum pH 9.35; monomeric	YahA has a C-terminal EAL domain. The EAL domain alone can perform PDE-A activity. YahA has an N-terminal LuxR putative regulator domain.	1786507	P21514	b0315	1086	JW0307	Null
EG11237	ECK3325	chiA	yheB	aa	897	Counterclockwise	3467160	3469853	74.70	97057.67	periplasmic endochitinase	Putative enzyme; Not classified	Periplasmic endochitinase/lysozyme, Hns-repressible	The first 24 aa of ChiA are predicted to be a type I signal peptide.	; 1789736	P13656	b3338	10909	JW3300	CG67547
EG11238	ECK0762	ybhB	None	aa	158	Counterclockwise	807433	807909	17.40	17085.12	kinase inhibitor homolog, UPF0098 family	Null	Raf kinase inhibitor RKIP homolog, function unknown; UPF0098 family; cytoplasmic protein	The YbhB N-terminus with Met was identified by MS/MS sequencing (Tao, 2009).	1786990	P12994	b0773	2632	JW0756	Null
