	Uniprot Accession	Description	Gene	Peptides.used.for.quantitation	Confidence.score	Molecular weight (Da)	Dataset	Glucose	LB	Glycerol + AA	Acetate	Fumarate	Glucosamine	Glycerol	Pyruvate	Chemostat µ=0.5	Chemostat µ=0.35	Chemostat µ=0.20	Chemostat µ=0.12	Stationary phase 1 day	Stationary phase 3 days	Osmotic-stress glucose	42°C glucose	pH6 glucose	Xylose	Mannose	Galactose 	Succinate	Fructose
219	P06715	Glutathione reductase OS=Escherichia coli (strain K12) GN=gor PE=1 SV=1	gor	19	1191.0	48723.63153	2	986	1398	1585.0	765	990	1221	996	969	944	854	775	674	836	830	1038	1166	1201	1235.0	1144.0	970	1069	1134.0
220	P31979	NADH-quinone oxidoreductase subunit F OS=Escherichia coli (strain K12) GN=nuoF PE=1 SV=3	nuoF	19	929.2	49242.939589999994	2	393	2075	1603.0	510	792	799	859	652	942	931	991	845	77	80	152	291	408	463.0	763.0	586	808	791.0
221	P67910	ADP-L-glycero-D-manno-heptose-6-epimerase OS=Escherichia coli (strain K12) GN=hldD PE=1 SV=1	hldD	19	1131.92	34853.12923	2	2898	4708	3874.0	2286	2384	2970	2507	2274	2018	1608	1545	1460	2175	2469	3584	2810	3761	2945.0	2131.0	2401	2363	2670.0
222	P0AGD7	Signal recognition particle protein OS=Escherichia coli (strain K12) GN=ffh PE=1 SV=1	ffh	18	1223.97	49737.22258	2	925	1665	1030.0	469	617	563	712	622	736	523	443	438	290	350	654	852	699	766.0	678.0	480	521	821.0
223	P0AG90	Protein-export membrane protein secD OS=Escherichia coli (strain K12) GN=secD PE=3 SV=1	secD	18	1003.3	66572.67588	2	430	879	623.0	300	376	462	422	486	538	467	397	385	243	242	318	595	441	479.0	472.0	307	470	617.0
224	P76116	Uncharacterized protein YncE OS=Escherichia coli (strain K12) GN=yncE PE=1 SV=1	yncE	18	1143.63	38571.4174	2	3466	1954	5201.0	1708	2750	2936	2998	3231	2163	1503	938	637	6153	6004	13167	4097	5043	7952.0	2858.0	1512	3206	4092.0
225	P16700	Thiosulfate-binding protein OS=Escherichia coli (strain K12) GN=cysP PE=1 SV=1	cysP	18	1026.7	37573.278269999995	2	3914	804	2019.0	2680	3380	2737	3187	3430	2239	1954	1548	1446	1990	1579	2616	3213	3877	2121.0	3104.0	2464	3110	3166.0
226	P60785	Elongation factor 4 OS=Escherichia coli (strain K12) GN=lepA PE=1 SV=1	lepA	18	1104.96	66510.34926	2	748	1579	1163.0	349	567	738	656	966	898	761	619	612	292	279	415	856	613	676.0	693.0	492	566	935.0
227	P06996	Outer membrane protein C OS=Escherichia coli (strain K12) GN=ompC PE=1 SV=1	ompC	18	1285.11	40325.36434	2	33621	73854	22077.0	42037	31350	16208	26933	42652	13185	13997	18369	23418	25431	25706	42508	48132	72556	32797.0	25131.0	31859	26711	29957.0
228	P0A8J8	ATP-dependent RNA helicase rhlB OS=Escherichia coli (strain K12) GN=rhlB PE=1 SV=2	rhlB	18	1043.46	47078.44805	2	497	938	608.0	349	383	437	412	415	535	447	399	369	197	190	409	504	505	573.0	374.0	352	412	570.0
229	P46837	Protein yhgF OS=Escherichia coli (strain K12) GN=yhgF PE=1 SV=3	yhgF	18	967.85	85048.93742999999	2	169	329	259.0	104	127	150	135	143	209	165	113	92	63	74	164	312	201	219.0	157.0	92	164	247.0
230	P60240	RNA polymerase-associated protein rapA OS=Escherichia coli (strain K12) GN=rapA PE=1 SV=2	rapA	18	870.09	109682.6916	2	84	540	185.0	65	62	100	74	54	106	85	76	88	80	79	56	101	104	86.0	76.0	47	61	96.0
231	P0A7V3	30S ribosomal protein S3 OS=Escherichia coli (strain K12) GN=rpsC PE=1 SV=2	rpsC	18	1108.11	25949.159330000002	2	15952	46854	33770.0	7222	11330	15673	13263	12018	20466	13375	10522	8754	8495	8336	10497	20333	13781	17545.0	13133.0	7082	13501	23409.0
232	P0AB77	2-amino-3-ketobutyrate coenzyme A ligase OS=Escherichia coli (strain K12) GN=kbl PE=1 SV=1	kbl	18	1099.45	43071.728189999994	2	172	2297	1560.0	146	131	113	108	122	103	76	67	64	105	98	161	126	200	180.0	115.0	87	126	144.0
233	P0A6K6	Phosphopentomutase OS=Escherichia coli (strain K12) GN=deoB PE=1 SV=1	deoB	18	982.98	44323.944	2	1012	5977	1676.0	1327	1371	1232	1186	1027	1327	1410	1431	1432	3187	3479	2339	2058	2907	1428.0	1377.0	1718	1259	1215.0
234	P21599	Pyruvate kinase II OS=Escherichia coli (strain K12) GN=pykA PE=1 SV=3	pykA	18	1411.98	51306.66919	2	1902	3343	2848.0	1421	1794	2501	2282	2181	1975	1918	1767	1592	1003	1063	1310	2311	1740	1864.0	2105.0	1974	1821	2178.0
235	P0A858	Triosephosphate isomerase OS=Escherichia coli (strain K12) GN=tpiA PE=1 SV=1	tpiA	18	1387.03	26936.80958	2	7438	7527	9704.0	7717	7758	7387	7456	6822	9314	7055	6336	5726	6878	8369	13299	8159	15012	9808.0	6227.0	7399	6250	9342.0
236	P31120	Phosphoglucosamine mutase OS=Escherichia coli (strain K12) GN=glmM PE=1 SV=3	glmM	18	1441.11	47495.53374	2	1087	2582	1867.0	729	1005	1241	1104	1115	1443	1253	1194	1132	971	891	1116	1604	1354	1319.0	1196.0	931	952	1432.0
237	P69797	PTS system mannose-specific EIIAB component OS=Escherichia coli (strain K12) GN=manX PE=1 SV=2	manX	18	1234.71	35007.49034	2	2291	2890	1963.0	1954	1913	6248	2823	1066	12029	8451	5642	3095	2021	1766	1455	2224	2055	2525.0	3850.0	1564	1778	4613.0
238	P69441	Adenylate kinase OS=Escherichia coli (strain K12) GN=adk PE=1 SV=1	adk	18	1101.67	23553.271	2	5283	8199	4816.0	4032	4676	3783	3675	5148	3157	3108	2560	2265	2499	2701	6827	4717	5234	4643.0	4013.0	2833	5878	4457.0
239	P0AB91	Phospho-2-dehydro-3-deoxyheptonate aldolase, Phe-sensitive OS=Escherichia coli (strain K12) GN=aroG PE=1 SV=1	aroG	18	1710.75	37967.50301	2	6678	1722	3319.0	2754	2806	4159	3616	2625	4897	2662	2034	1666	4568	4501	9996	6426	10774	7572.0	3340.0	3177	3621	6780.0
240	P21170	Biosynthetic arginine decarboxylase OS=Escherichia coli (strain K12) GN=speA PE=1 SV=2	speA	18	1314.3	73833.42147999999	2	1295	1661	1897.0	637	824	891	1105	985	903	667	665	581	311	365	579	831	1059	876.0	818.0	742	722	1103.0
241	P0AEZ1	5,10-methylenetetrahydrofolate reductase OS=Escherichia coli (strain K12) GN=metF PE=1 SV=1	metF	18	1143.69	33063.77233	2	4385	853	650.0	2229	2025	2400	3360	1937	2465	1305	1242	924	1060	857	3128	3764	4741	3745.0	2694.0	2160	2317	4255.0
242	P39346	L-idonate 5-dehydrogenase OS=Escherichia coli (strain K12) GN=idnD PE=1 SV=1	idnD	18	1147.39	37104.31248	1	274	382		129	144	8006	185	171	153	150	138	143	116	68	241	229	203			102	102	
243	P25526	Succinate-semialdehyde dehydrogenase [NADP+] OS=Escherichia coli (strain K12) GN=gabD PE=1 SV=1	gabD	18	1025.2	51669.60686	2	718	1258	1769.0	1074	1146	1464	1132	1377	1565	1685	1622	1969	712	797	890	700	836	1014.0	1748.0	1320	919	877.0
244	P00393	NADH dehydrogenase OS=Escherichia coli (strain K12) GN=ndh PE=1 SV=2	ndh	18	1368.88	47310.63259	2	662	1172	773.0	236	304	437	444	561	654	331	334	359	703	798	935	1153	885	1495.0	364.0	365	412	1132.0
245	P45464	Penicillin-binding protein activator LpoA OS=Escherichia coli (strain K12) GN=lpoA PE=1 SV=1	lpoA	18	887.8	72761.97123	2	490	757	687.0	306	430	463	483	482	397	344	313	265	229	207	488	395	465	395.0	403.0	340	445	451.0
246	P77243	2-methylcitrate dehydratase OS=Escherichia coli (strain K12) GN=prpD PE=1 SV=3	prpD	17	1152.39	53899.462770000006	2	93	181	126.0	120	590	240	71	91	91	1893	2188	1528	76	85	103	128	107	143.0	148.0	887	171	146.0
247	P76578	Uncharacterized lipoprotein yfhM OS=Escherichia coli (strain K12) GN=yfhM PE=4 SV=1	yfhM	17	867.54	181455.4179	2	29	60	49.0	53	57	57	49	60	66	67	65	78	37	43	28	25	32	41.0	49.0	32	42	36.0
248	P0ABT2	DNA protection during starvation protein OS=Escherichia coli (strain K12) GN=dps PE=1 SV=2	dps	17	1282.41	18665.72624	2	4698	10435	5517.0	9277	6790	9014	6462	4170	4273	5031	5467	5147	78517	70522	3548	4647	21474	2608.0	6775.0	4164	4474	4999.0
249	P0AB24	UPF0409 protein ycdO OS=Escherichia coli (strain K12) GN=ycdO PE=1 SV=1	efeO	17	1111.47	41094.01915	2	636	426	1303.0	284	337	689	250	263	712	476	294	239	2209	2282	3799	1269	2819	1602.0	367.0	300	521	567.0
250	P08506	D-alanyl-D-alanine carboxypeptidase dacC OS=Escherichia coli (strain K12) GN=dacC PE=1 SV=2	dacC	17	1255.29	43563.339210000006	2	988	956	780.0	1028	1270	1003	1766	1735	1039	1025	1192	1293	871	750	828	1898	1123	1171.0	1506.0	1310	1244	1540.0
251	P0AEP3	UTP--glucose-1-phosphate uridylyltransferase OS=Escherichia coli (strain K12) GN=galU PE=1 SV=2	galU	17	842.42	32902.99162	2	1619	2449	2237.0	1074	1360	1532	1632	1041	1517	1221	1288	1033	1457	1404	2505	2816	2606	1999.0	1294.0	1272	1246	1654.0
252	P0A715	2-dehydro-3-deoxyphosphooctonate aldolase OS=Escherichia coli (strain K12) GN=kdsA PE=1 SV=1	kdsA	17	1242.72	30794.901210000004	2	2645	4123	3970.0	2683	2925	2806	3208	2474	3324	2661	2047	1670	1859	1762	3506	4239	2872	2965.0	2059.0	2318	2388	2882.0
253	P0A7I4	Peptide chain release factor 3 OS=Escherichia coli (strain K12) GN=prfC PE=1 SV=2	prfC	17	1102.69	59518.306820000005	2	825	1380	1459.0	402	457	465	503	474	431	288	238	221	174	189	464	737	549	473.0	423.0	282	513	609.0
254	P0A7V8	30S ribosomal protein S4 OS=Escherichia coli (strain K12) GN=rpsD PE=1 SV=2	rpsD	17	1105.06	23436.61845	2	13608	35055	21596.0	6650	10358	12616	13327	10328	15691	10430	7910	6843	4678	4570	9019	15006	10238	13533.0	11641.0	7219	10552	15457.0
255	P02359	30S ribosomal protein S7 OS=Escherichia coli (strain K12) GN=rpsG PE=1 SV=3	rpsG	17	1287.47	19988.68708	2	54022	136334	78873.0	22645	33375	37005	37345	29262	33810	24753	17001	14891	16942	16992	40197	39602	35330	43215.0	36240.0	19367	34069	44052.0
256	P23830	CDP-diacylglycerol--serine O-phosphatidyltransferase OS=Escherichia coli (strain K12) GN=pssA PE=1 SV=2	pssA	17	1149.61	52750.76196	2	296	730	350.0	283	395	414	387	458	583	645	558	671	153	191	176	241	233	264.0	395.0	327	418	402.0
257	P06129	Vitamin B12 transporter BtuB OS=Escherichia coli (strain K12) GN=btuB PE=1 SV=2	btuB	17	1177.07	68347.35227	2	676	832	1072.0	436	506	582	503	489	426	334	262	229	246	327	509	250	475	499.0	450.0	258	507	522.0
258	P0A9T0	D-3-phosphoglycerate dehydrogenase OS=Escherichia coli (strain K12) GN=serA PE=1 SV=2	serA	17	954.62	44130.04277	2	11353	910	2080.0	4662	4871	7542	6065	6099	9689	6093	4135	3349	5474	6439	10969	10294	14109	11906.0	3009.0	4104	4325	7682.0
259	P0A991	Fructose-bisphosphate aldolase class 1 OS=Escherichia coli (strain K12) GN=fbaB PE=1 SV=2	fbaB	17	1340.07	38067.15999	2	2160	1182	1336.0	4226	4258	3387	3371	3285	3597	3702	4219	4572	3886	4514	4193	4279	6530	2779.0	4288.0	4516	3770	2484.0
260	P52697	6-phosphogluconolactonase OS=Escherichia coli (strain K12) GN=pgl PE=1 SV=2	pgl	17	956.95	36266.852289999995	2	1802	2203	2845.0	2924	3091	2194	3349	1775	3263	3048	3490	3275	4134	4101	5719	3523	6493	3014.0	2635.0	4657	2455	2488.0
261	P33221	Phosphoribosylglycinamide formyltransferase 2 OS=Escherichia coli (strain K12) GN=purT PE=1 SV=3	purT	17	1168.48	42389.00585	2	2379	363	1290.0	733	1262	1695	1424	2360	1416	921	748	537	671	667	1677	2229	1647	1507.0	1426.0	1254	1239	1370.0
262	P0A9Q9	Aspartate-semialdehyde dehydrogenase OS=Escherichia coli (strain K12) GN=asd PE=1 SV=1	asd	17	1106.4	39974.477	2	13769	3849	6746.0	8323	5886	6186	8940	8246	7967	4932	3578	2576	4815	5090	12037	12167	15966	10346.0	5858.0	4657	6188	10792.0
263	P22256	4-aminobutyrate aminotransferase OS=Escherichia coli (strain K12) GN=gabT PE=1 SV=1	gabT	17	1134.9	45727.49283	2	599	945	1637.0	1061	1288	1674	1295	1524	1637	1737	1837	1548	365	398	604	499	681	751.0	1377.0	1471	873	902.0
264	P18956	Gamma-glutamyltranspeptidase OS=Escherichia coli (strain K12) GN=ggt PE=1 SV=1	ggt	17	640.15	61711.22895	2	172	269	363.0	153	328	283	279	213	207	209	185	157	162	114	184	90	103	130.0	210.0	211	220	145.0
265	P21165	Xaa-Pro dipeptidase OS=Escherichia coli (strain K12) GN=pepQ PE=1 SV=2	pepQ	17	1425.59	50126.326460000004	2	1239	1877	1967.0	1083	1346	1476	1364	1279	1333	1232	1153	908	565	544	1146	1791	1240	1303.0	1666.0	1471	1469	1432.0
266	P07004	Gamma-glutamyl phosphate reductase OS=Escherichia coli (strain K12) GN=proA PE=1 SV=2	proA	17	1174.47	44584.180810000005	2	944	1214	990.0	686	742	786	950	798	931	856	805	757	589	524	902	1316	1114	1036.0	795.0	921	820	1067.0
267	P0A7B5	Glutamate 5-kinase OS=Escherichia coli (strain K12) GN=proB PE=1 SV=1	proB	17	1109.06	39014.45918	2	680	812	519.0	435	477	485	551	599	627	565	467	414	201	218	375	800	574	708.0	613.0	386	503	705.0
268	P0AEZ3	Septum site-determining protein minD OS=Escherichia coli (strain K12) GN=minD PE=1 SV=2	minD	17	923.43	29577.611810000002	2	2776	4928	4986.0	2638	2706	3019	2741	3301	2902	2669	2558	2368	1305	1349	2899	3592	2945	3135.0	2700.0	2152	2363	2573.0
269	P77735	Uncharacterized oxidoreductase YajO OS=Escherichia coli (strain K12) GN=yajO PE=3 SV=2	yajO	17	981.38	36379.517510000005	2	465	357	371.0	547	632	583	577	420	426	472	523	669	718	582	761	505	760	407.0	606.0	625	426	423.0
270	P0ABJ1	Ubiquinol oxidase subunit 2 OS=Escherichia coli (strain K12) GN=cyoA PE=1 SV=1	cyoA	17	820.49	34870.5555	2	2616	7655	4784.0	2103	2430	2176	2206	4384	3405	2227	1718	1844	829	865	1720	1866	2242	2580.0	2129.0	887	2496	2755.0
271	P19926	Glucose-1-phosphatase OS=Escherichia coli (strain K12) GN=agp PE=1 SV=1	agp	17	911.69	45635.85628	2	501	1367	778.0	1380	1245	952	849	909	1232	1588	1871	2131	1181	1264	529	900	692	647.0	1239.0	1592	953	909.0
272	P33136	Glucans biosynthesis protein G OS=Escherichia coli (strain K12) GN=mdoG PE=1 SV=1	mdoG	17	948.77	57858.117060000004	2	993	1265	1047.0	555	829	752	929	783	971	735	676	595	473	428	696	1129	901	879.0	848.0	629	789	1050.0
273	P0AE78	Magnesium and cobalt efflux protein CorC OS=Escherichia coli (strain K12) GN=corC PE=3 SV=1	corC	17	870.67	33259.53085	2	215	363	321.0	349	367	286	331	325	415	364	310	227	188	293	458	357	539	384.0	255.0	336	311	359.0
274	P23836	Transcriptional regulatory protein phoP OS=Escherichia coli (strain K12) GN=phoP PE=1 SV=1	phoP	16	1055.77	25501.27781	2	2967	3132	4532.0	2950	3085	3154	2952	2265	2704	2799	2430	1880	1253	1269	3587	2702	3197	3389.0	3039.0	2333	3020	2937.0
275	P0ABD3	Bacterioferritin OS=Escherichia coli (strain K12) GN=bfr PE=1 SV=1	bfr	16	952.42	18465.32013	2	3413	3039	2966.0	8229	8092	6902	5651	2959	5056	7681	9245	12499	2799	2934	1587	3777	4383	2178.0	7469.0	9742	4798	2946.0
276	P09372	Protein grpE OS=Escherichia coli (strain K12) GN=grpE PE=1 SV=1	grpE	16	962.49	21766.1539	2	5905	16830	11252.0	4235	5148	5976	5886	4546	4972	3835	3380	2730	6164	6107	8277	13012	9141	4941.0	5053.0	3505	4762	5774.0
277	P0ACC7	Bifunctional protein glmU OS=Escherichia coli (strain K12) GN=glmU PE=1 SV=1	glmU	16	763.66	49141.57527	2	409	804	685.0	266	306	279	426	352	502	335	282	209	245	316	454	500	429	536.0	320.0	257	359	533.0
278	P77239	Cation efflux system protein CusB OS=Escherichia coli (strain K12) GN=cusB PE=1 SV=1	cusB	16	983.26	44259.17524	2	2333	385	291.0	1923	2791	617	3262	1330	1313	1124	758	646	353	280	433	2287	1588	1705.0	2391.0	1916	2711	3822.0
279	P60438	50S ribosomal protein L3 OS=Escherichia coli (strain K12) GN=rplC PE=1 SV=1	rplC	16	1141.88	22211.83448	2	16502	40858	27954.0	8089	11343	12676	13860	9931	12167	8673	7189	5615	7816	6987	13923	18683	14961	15111.0	11705.0	8345	12407	17615.0
280	P62620	4-hydroxy-3-methylbut-2-en-1-yl diphosphate synthase OS=Escherichia coli (strain K12) GN=ispG PE=1 SV=1	ispG	16	861.29	40640.36094	2	590	969	837.0	357	382	412	455	400	328	300	260	225	147	49	309	520	319	420.0	311.0	222	321	393.0
281	P18133	Nicotinate phosphoribosyltransferase OS=Escherichia coli (strain K12) GN=pncB PE=1 SV=3	pncB	16	863.38	45850.346139999994	2	593	365	680.0	368	495	523	564	562	480	370	306	260	57	43	457	522	493	544.0	416.0	360	470	517.0
282	Q46829	6-phospho-beta-glucosidase BglA OS=Escherichia coli (strain K12) GN=bglA PE=3 SV=2	bglA	16	707.14	55306.84905	2	369	485	526.0	276	353	393	370	399	275	229	214	182	179	153	337	431	378	378.0	278.0	296	288	310.0
283	P07650	Thymidine phosphorylase OS=Escherichia coli (strain K12) GN=deoA PE=1 SV=3	deoA	16	1052.13	47159.0389	2	135	1556	127.0	95	127	151	93	122	104	116	118	135	202	218	290	212	273	183.0	144.0	123	135	123.0
284	P12758	Uridine phosphorylase OS=Escherichia coli (strain K12) GN=udp PE=1 SV=3	udp	16	1312.76	27123.83212	2	1726	27495	3289.0	3105	3722	3026	3259	2631	3980	4686	5490	6198	3523	3066	3167	4376	3963	2532.0	2507.0	3268	2634	2445.0
285	P0A8F0	Uracil phosphoribosyltransferase OS=Escherichia coli (strain K12) GN=upp PE=1 SV=1	upp	16	963.26	22500.972990000002	2	23305	16450	12778.0	11467	21550	16914	21630	13438	16252	9966	7016	5856	6830	8739	18001	13089	15042	17597.0	18710.0	14410	25934	20059.0
286	P0A717	Ribose-phosphate pyrophosphokinase OS=Escherichia coli (strain K12) GN=prs PE=1 SV=2	prs	16	1269.75	34178.69451	2	7428	9372	11357.0	5519	8365	7813	7879	7821	6874	4850	3549	3160	3241	3968	6920	7408	8818	7542.0	6539.0	5139	9774	8800.0
287	P23908	Acetylornithine deacetylase OS=Escherichia coli (strain K12) GN=argE PE=1 SV=2	argE	16	1388.14	42302.47015	2	2145	326	569.0	800	911	962	1378	1329	1307	775	850	958	971	1054	2625	2208	2482	1535.0	1177.0	1319	925	1833.0
288	P0AC38	Aspartate ammonia-lyase OS=Escherichia coli (strain K12) GN=aspA PE=1 SV=1	aspA	16	1119.52	52304.53112	2	110	5578	2988.0	780	886	377	447	551	819	809	591	602	457	495	110	122	99	263.0	676.0	318	785	220.0
289	P0A9D8	2,3,4,5-tetrahydropyridine-2,6-dicarboxylate N-succinyltransferase OS=Escherichia coli (strain K12) GN=dapD PE=1 SV=1	dapD	16	1414.34	29855.425789999998	2	10996	8342	7288.0	4577	4798	5689	7306	6905	5803	4362	3663	2585	3659	3657	9312	15881	11826	9708.0	6848.0	4061	4962	10131.0
290	P60757	ATP phosphoribosyltransferase OS=Escherichia coli (strain K12) GN=hisG PE=1 SV=1	hisG	16	941.56	33327.35988	2	4025	504	4683.0	1005	1635	1670	2818	1695	1974	1649	1511	1092	462	537	1867	3235	2213	2781.0	2499.0	1692	1992	3004.0
291	P15288	Aminoacyl-histidine dipeptidase OS=Escherichia coli (strain K12) GN=pepD PE=1 SV=3	pepD	16	1036.43	52864.14219	2	2408	5961	4480.0	2837	2804	2659	2874	2563	2703	2433	2052	1647	2079	2243	3714	3628	4322	4083.0	3022.0	2407	2950	3522.0
292	P15034	Xaa-Pro aminopeptidase OS=Escherichia coli (strain K12) GN=pepP PE=1 SV=2	pepP	16	1073.11	49766.1139	2	617	973	616.0	694	806	591	740	751	813	741	712	599	466	305	636	579	507	630.0	755.0	840	721	609.0
293	P00893	Acetolactate synthase isozyme 3 large subunit OS=Escherichia coli (strain K12) GN=ilvI PE=1 SV=2	ilvI	16	792.09	62925.97681	2	441	114	107.0	307	343	406	472	462	452	413	359	284	222	248	369	405	424	448.0	363.0	278	305	443.0
294	P0AEU0	Histidine-binding periplasmic protein OS=Escherichia coli (strain K12) GN=hisJ PE=1 SV=1	hisJ	16	1112.16	28447.635660000004	2	10759	3332	5038.0	4228	6094	7981	6560	7715	7385	7457	6222	5668	3539	4578	9530	10382	8326	5753.0	7499.0	6330	6514	7890.0
295	P0A6A3	Acetate kinase OS=Escherichia coli (strain K12) GN=ackA PE=1 SV=1	ackA	16	1176.04	43245.07012	2	3062	8612	3954.0	1458	2395	2066	2587	8277	2006	2019	2028	1992	2326	2094	2919	3368	3790	5005.0	3685.0	2982	3424	4780.0
296	P05042	Fumarate hydratase class II OS=Escherichia coli (strain K12) GN=fumC PE=1 SV=1	fumC	16	1328.8	50438.71	2	498	996	938.0	958	1092	1770	567	612	1358	1649	1693	2220	280	281	415	324	553	427.0	1271.0	2032	943	670.0
297	P0ABA6	ATP synthase gamma chain OS=Escherichia coli (strain K12) GN=atpG PE=1 SV=1	atpG	16	878.86	31539.27915	2	2307	3812	4604.0	1640	2288	2261	2414	2779	2450	1823	1413	1075	849	792	1172	1472	1086	2089.0	2141.0	1553	2212	2250.0
298	P32176	Formate dehydrogenase-O major subunit OS=Escherichia coli (strain K12) GN=fdoG PE=1 SV=5	fdoG	16	1159.21	112549.0	2	13	2034	25.0	15	15	13	8	17	14	15	11	11	4	5	11	16	14	15.0	15.0	10	13	20.0
299	P76177	Protein ydgH OS=Escherichia coli (strain K12) GN=ydgH PE=1 SV=1	ydgH	16	1186.15	33864.45084	2	2729	2669	2633.0	1567	2205	2792	2437	2397	2174	2031	1802	1382	1248	664	2468	2674	2972	2601.0	2374.0	1911	2176	3047.0
300	P45578	S-ribosylhomocysteine lyase OS=Escherichia coli (strain K12) GN=luxS PE=1 SV=3	luxS	15	1179.02	19385.612240000002	2	6890	5305	6094.0	5305	5370	6384	6922	5630	5066	4092	3895	3080	7973	7518	14458	14013	17462	7915.0	6634.0	6199	5412	7669.0
301	P0A8W8	UPF0304 protein yfbU OS=Escherichia coli (strain K12) GN=yfbU PE=1 SV=1	yfbU	15	804.24	19505.45171	2	1232	1387	1702.0	858	1122	1585	1766	1056	1270	990	933	833	1185	1043	1490	2663	2225	1873.0	1323.0	1444	1184	1785.0
302	Q46857	2,5-diketo-D-gluconic acid reductase A OS=Escherichia coli (strain K12) GN=dkgA PE=1 SV=3	dkgA	15	941.04	31072.23036	2	328	735	453.0	321	355	445	468	263	467	325	359	412	1326	1316	868	645	649	418.0	207.0	461	203	392.0
303	P39342	Uncharacterized protein yjgR OS=Escherichia coli (strain K12) GN=yjgR PE=1 SV=1	yjgR	15	895.75	54280.35702999999	2	174	118	173.0	154	218	188	227	169	178	189	192	259	193	242	180	232	276	162.0	220.0	277	212	136.0
304	P28635	D-methionine-binding lipoprotein metQ OS=Escherichia coli (strain K12) GN=metQ PE=1 SV=2	metQ	15	1245.36	29395.54573	2	29884	3958	10224.0	12300	16943	21540	22397	18443	17035	15841	13967	14390	18267	15682	25696	14488	26076	23398.0	18142.0	15332	17992	21038.0
305	P0AAB6	UTP--glucose-1-phosphate uridylyltransferase OS=Escherichia coli (strain K12) GN=galF PE=1 SV=1	galF	15	1212.7	32790.12707	2	4865	4890	4704.0	2677	3781	3784	3787	3081	3272	2331	1975	1577	2109	2293	4445	4177	3947	4710.0	3514.0	2668	3775	4556.0
306	P0A749	UDP-N-acetylglucosamine 1-carboxyvinyltransferase OS=Escherichia coli (strain K12) GN=murA PE=1 SV=1	murA	15	689.16	44771.46454	2	650	1266	1271.0	354	408	598	642	534	524	434	350	311	184	133	548	478	423	551.0	371.0	353	411	539.0
307	P37759	dTDP-glucose 4,6-dehydratase 1 OS=Escherichia coli (strain K12) GN=rfbB PE=3 SV=2	rfbB	15	1031.33	40515.2662	2	1009	2504	1894.0	549	631	617	695	543	582	378	269	213	250	208	686	656	626	783.0	575.0	322	670	894.0
308	P0A7G6	Protein recA OS=Escherichia coli (strain K12) GN=recA PE=1 SV=2	recA	15	1090.72	37931.55831	2	1514	3139	3467.0	1138	1741	1932	1919	1743	2329	2157	1779	1516	583	626	1340	2183	1254	1750.0	1739.0	1463	1754	1750.0
309	P15042	DNA ligase OS=Escherichia coli (strain K12) GN=ligA PE=1 SV=2	ligA	15	994.06	73542.28557000001	2	290	647	643.0	215	304	346	307	239	320	256	213	212	168	120	230	350	294	371.0	359.0	259	389	437.0
310	P21507	ATP-dependent RNA helicase srmB OS=Escherichia coli (strain K12) GN=srmB PE=1 SV=1	srmB	15	929.27	49865.450619999996	2	301	719	385.0	287	307	320	314	279	531	475	441	424	141	142	206	352	276	284.0	336.0	196	268	381.0
311	P07604	Transcriptional regulatory protein tyrR OS=Escherichia coli (strain K12) GN=tyrR PE=1 SV=2	tyrR	15	859.27	57601.71114	2	132	225	144.0	76	119	135	154	133	222	164	151	142	62	58	122	133	142	141.0	97.0	96	81	131.0
312	P0AE18	Methionine aminopeptidase OS=Escherichia coli (strain K12) GN=map PE=1 SV=1	map	15	729.78	29293.90197	2	1479	2077	2128.0	1055	1216	1321	1324	1098	1106	907	732	630	1191	1244	2786	1866	2871	2034.0	1215.0	1028	1291	1629.0
313	P0A7W1	30S ribosomal protein S5 OS=Escherichia coli (strain K12) GN=rpsE PE=1 SV=2	rpsE	15	1066.45	17574.316730000002	2	18042	49612	35630.0	8213	12377	15648	15684	11107	14055	8955	7238	6497	6753	7025	10923	18247	15377	15393.0	11498.0	7900	12453	18413.0
314	P02358	30S ribosomal protein S6 OS=Escherichia coli (strain K12) GN=rpsF PE=1 SV=1	rpsF	15	1363.78	15675.59882	2	17452	42242	29319.0	8724	10379	11938	12148	10030	13163	8789	7068	5764	7861	8445	17827	16394	16203	14694.0	10543.0	7342	9913	13982.0
315	P0AEI1	(Dimethylallyl)adenosine tRNA methylthiotransferase miaB OS=Escherichia coli (strain K12) GN=miaB PE=1 SV=1	miaB	15	1270.05	53611.11073	2	967	2315	1210.0	314	597	513	604	473	487	351	263	249	171	134	218	506	153	427.0	484.0	345	649	684.0
316	P0AA39	Ribosomal large subunit pseudouridine synthase C OS=Escherichia coli (strain K12) GN=rluC PE=1 SV=1	rluC	15	573.1	35986.353839999996	2	152	326	166.0	59	91	96	89	86	97	76	72	83	58	61	80	138	71	88.0	66.0	67	87	104.0
317	P0AGJ9	Tyrosyl-tRNA synthetase OS=Escherichia coli (strain K12) GN=tyrS PE=1 SV=2	tyrS	15	1058.75	47479.05081	2	2277	3362	2875.0	1118	1261	1791	1609	1336	1610	1191	1109	914	971	1048	1989	3368	2112	2206.0	1498.0	1222	1459	2187.0
318	P0A6W9	Glutamate--cysteine ligase OS=Escherichia coli (strain K12) GN=gshA PE=1 SV=1	gshA	15	605.9	58214.2673	2	550	611	528.0	335	381	391	424	370	324	332	302	254	192	183	514	488	583	400.0	352.0	338	325	394.0
